"","Country","Location","Population","Lat","Lon","PopClass"
"105","US","Chitina, Alaska",84,61.5158,-144.437,1
"106","US","Lower Tonsina, Alaska",0,61.655,-144.659,1
"107","US","Gulkana, Alaska",95,62.2714,-145.382,1
"108","US","Gakona, Alaska",23,62.3019,-145.302,1
"109","US","Chistochina, Alaska",55,62.565,-144.665,1
"110","US","Nabesna, Alaska",0,62.3719,-143.009,1
"111","US","McCarthy, Alaska",28,61.4333,-142.922,1
"112","US","Yakutat, Alaska",833,59.5469,-139.727,1
"113","US","Skagway, Alaska",816,59.4583,-135.314,1
"114","US","Haines, Alaska",1429,59.2358,-135.445,1
"115","US","Klukwan, Alaska",160,59.3991,-135.894,1
"116","US","Juneau, Alaska",29813,58.3019,-134.42,2
"117","US","Pelican, Alaska",187,57.9608,-136.227,1
"118","US","Tenakee Springs, Alaska",98,57.7808,-135.219,1
"119","US","Hoonah, Alaska",906,58.11,-135.444,1
"120","US","Elfin Cove, Alaska",54,58.1944,-136.343,1
"121","US","Angoon, Alaska",616,57.5033,-134.584,1
"122","US","Kake, Alaska",767,56.9758,-133.947,1
"123","US","Wrangell, Alaska",2543,56.4708,-132.377,1
"124","US","Point Baker, Alaska",57,56.3528,-133.621,1
"125","US","Petersburg, Alaska",3432,56.8125,-132.955,1
"126","US","Kupreanof, Alaska",24,56.8153,-133.006,1
"127","US","Port Alexander, Alaska",94,56.2497,-134.644,1
"128","US","Edna Bay, Alaska",70,55.9489,-133.662,1
"129","US","Craig, Alaska",2043,55.4764,-133.148,1
"130","US","Klawock, Alaska",704,55.5522,-133.096,1
"131","US","Kasaan, Alaska",42,55.5389,-132.401,1
"132","US","Hydaburg, Alaska",398,55.208,-132.827,1
"133","US","Meyers Chuck, Alaska",28,55.7408,-132.256,1
"134","US","Ketchikan, Alaska",8552,55.3422,-131.646,1
"135","US","Saxman, Alaska",381,55.3183,-131.596,1
"136","US","Metlakatla, Alaska",1528,55.1292,-131.572,1
"137","US","Hyder, Alaska",151,55.9169,-130.025,1
"138","US","Sitka, Alaska",8733,57.053,-135.33,1
"139","US","Cordova, Alaska",2467,60.5428,-145.757,1
"140","US","Valdez, Alaska",4184,61.1308,-146.348,1
"141","US","Tatitlek, Alaska",99,60.8647,-146.679,1
"142","US","Seldovia, Alaska",414,59.438,-151.711,1
"143","US","Port Graham, Alaska",186,59.3514,-151.83,1
"144","US","Anchor Point, Alaska",866,59.7766,-151.831,1
"145","US","Homer, Alaska",4126,59.6425,-151.548,1
"146","US","Ninilchik, Alaska",655,60.0514,-151.669,1
"147","US","Clam Gulch, Alaska",100,60.2311,-151.394,1
"148","US","Kasilof, Alaska",539,60.3375,-151.274,1
"149","US","Kenai, Alaska",6971,60.5544,-151.258,1
"150","US","Soldotna, Alaska",4092,60.4878,-151.058,1
"151","US","Whittier, Alaska",289,60.773,-148.684,1
"152","US","Hope, Alaska",152,60.9203,-149.64,1
"153","US","Tyonek, Alaska",151,61.0681,-151.137,1
"154","US","Talkeetna, Alaska",347,62.3239,-150.109,1
"155","US","Healy, Alaska",603,63.8578,-148.966,1
"156","US","Tanacross, Alaska",85,63.3853,-143.346,1
"157","US","Northway, Alaska",119,62.9616,-141.937,1
"158","US","Tok, Alaska",1216,63.3366,-142.985,1
"159","US","Chicken, Alaska",17,64.0733,-141.936,1
"160","US","Delta Junction, Alaska",855,64.0377,-145.732,1
"161","US","Big Delta, Alaska",508,64.1525,-145.842,1
"162","US","Eagle, Alaska",165,64.788,-141.2,1
"163","US","Eagle Village, Alaska",34,64.7805,-141.114,1
"164","US","Central, Alaska",57,65.5724,-144.803,1
"165","US","Circle Hot Springs, Alaska",32,65.4833,-144.634,1
"166","US","Chena Hot Springs, Alaska",0,65.053,-146.056,1
"167","US","Fairbanks, Alaska",31850,64.8378,-147.716,2
"168","US","Fox, Alaska",321,64.958,-147.618,1
"169","US","Ester, Alaska",236,64.8472,-148.014,1
"170","US","North Pole, Alaska",1631,64.7511,-147.349,1
"171","US","Livengood, Alaska",0,65.5244,-148.545,1
"172","US","Lake Minchumina, Alaska",45,63.8828,-152.312,1
"173","US","Anderson, Alaska",565,64.3441,-149.187,1
"174","US","Nenana, Alaska",356,64.5638,-149.093,1
"175","US","Tanana, Alaska",299,65.1719,-152.079,1
"176","US","Manley Hot Springs, Alaska",90,65.0011,-150.634,1
"177","US","Rampart, Alaska",54,65.5049,-150.17,1
"178","US","Circle, Alaska",83,65.8255,-144.061,1
"179","US","Fort Yukon, Alaska",575,66.5647,-145.274,1
"180","US","Venetie, Alaska",241,67.0139,-146.419,1
"181","US","Beaver, Alaska",103,66.3594,-147.396,1
"182","US","Stevens Village, Alaska",99,66.0063,-149.091,1
"183","US","Anaktuvuk Pass, Alaska",301,68.1433,-151.736,1
"184","US","Bettles, Alaska",32,66.9069,-151.683,1
"185","US","Allakaket, Alaska",182,66.5656,-152.646,1
"186","US","Evansville, Alaska",43,66.9227,-151.508,1
"187","US","Wiseman, Alaska",24,67.41,-150.107,1
"188","US","Kobuk, Alaska",89,66.9072,-156.881,1
"189","US","Shungnak, Alaska",252,66.888,-157.136,1
"190","US","Ambler, Alaska",333,67.0861,-157.851,1
"191","US","Kotzebue, Alaska",2885,66.8983,-162.597,1
"192","US","Kiana, Alaska",415,66.975,-160.423,1
"193","US","Noorvik, Alaska",571,66.8383,-161.033,1
"194","US","Selawik, Alaska",696,66.6039,-160.007,1
"195","US","Noatak, Alaska",401,67.5711,-162.965,1
"196","US","Shishmaref, Alaska",542,66.2567,-166.072,1
"197","US","Kivalina, Alaska",357,67.7269,-164.533,1
"198","US","Wainwright, Alaska",550,70.6369,-160.038,1
"199","US","Point Lay, Alaska",207,69.7574,-163.051,1
"200","US","Point Hope, Alaska",749,68.3477,-166.808,1
"201","US","Atqasuk, Alaska",235,70.4694,-157.396,1
"202","US","Barrow, Alaska",4380,71.2905,-156.789,1
"203","US","Nuiqsut, Alaska",435,70.2175,-150.976,1
"204","US","Kaktovik, Alaska",222,70.1319,-143.624,1
"205","US","Arctic Village, Alaska",96,68.1269,-145.538,1
"206","US","Huslia, Alaska",232,65.6986,-156.4,1
"207","US","Hughes, Alaska",52,66.0488,-154.255,1
"208","US","Galena, Alaska",543,64.7333,-156.927,1
"209","US","Kaltag, Alaska",245,64.3272,-158.722,1
"210","US","Nulato, Alaska",365,64.7194,-158.103,1
"211","US","Koyukuk, Alaska",113,64.8802,-157.701,1
"212","US","Ruby, Alaska",189,64.7394,-155.487,1
"213","US","Nome, Alaska",3595,64.5011,-165.406,1
"214","US","Golovin, Alaska",153,64.5433,-163.029,1
"215","US","Elim, Alaska",291,64.6175,-162.26,1
"216","US","White Mountain, Alaska",193,64.6813,-163.406,1
"217","US","Koyuk, Alaska",272,64.9319,-161.157,1
"218","US","Buckland, Alaska",412,65.9797,-161.123,1
"219","US","Teller, Alaska",265,65.2636,-166.361,1
"220","US","Brevig Mission, Alaska",265,65.3347,-166.489,1
"221","US","Deering, Alaska",158,66.0755,-162.717,1
"222","US","Candle, Alaska",11,65.9133,-161.924,1
"223","US","Solomon, Alaska",0,64.5608,-164.439,1
"224","US","Council, Alaska",0,64.895,-163.676,1
"225","US","Marys Igloo, Alaska",0,65.1478,-165.063,1
"226","US","Wales, Alaska",162,65.60969,-168.0876,1
"227","US","Gambell, Alaska",653,63.7797,-171.741,1
"228","US","Saint Mary's, Alaska",504,62.053,-163.166,1
"229","US","Pilot Station, Alaska",547,61.9389,-162.875,1
"230","US","Scammon Bay, Alaska",459,61.8428,-165.582,1
"231","US","Hooper Bay, Alaska",1012,61.5311,-166.097,1
"232","US","Sheldon Point, Alaska",150,62.5336,-164.841,1
"233","US","Alakanuk, Alaska",651,62.6889,-164.615,1
"234","US","Emmonak, Alaska",798,62.7778,-164.523,1
"235","US","Stebbins, Alaska",513,63.5222,-162.288,1
"236","US","Saint Michael, Alaska",341,63.478,-162.039,1
"237","US","Kotlik, Alaska",543,63.0341,-163.553,1
"238","US","Hamilton, Alaska",0,62.9497,-163.779,1
"239","US","Chuloonawick, Alaska",0,62.8961,-163.894,1
"240","US","Pitkas Point, Alaska",154,62.0328,-163.288,1
"241","US","Chevak, Alaska",721,61.5278,-165.586,1
"242","US","Marshall, Alaska",318,61.8778,-162.081,1
"243","US","Ohogamiut, Alaska",0,61.5677,-161.864,1
"244","US","Holy Cross, Alaska",260,62.1994,-159.771,1
"245","US","Shageluk, Alaska",145,62.6822,-159.562,1
"246","US","Anvik, Alaska",83,62.6561,-160.207,1
"247","US","Flat, Alaska",0,62.4536,-158.007,1
"248","US","Aniak, Alaska",578,61.5783,-159.522,1
"249","US","Napamiute, Alaska",3,61.54,-158.674,1
"250","US","Crooked Creek, Alaska",138,61.87,-158.111,1
"251","US","Sleetmute, Alaska",102,61.7025,-157.17,1
"252","US","Stony River, Alaska",42,61.7831,-156.588,1
"253","US","Lime Village, Alaska",47,61.3564,-155.436,1
"254","US","Red Devil, Alaska",49,61.7611,-157.313,1
"255","US","Unalakleet, Alaska",803,63.873,-160.788,1
"256","US","McGrath, Alaska",456,62.9564,-155.596,1
"257","US","Takotna, Alaska",63,62.9886,-156.064,1
"258","US","Ophir, Alaska",0,63.1447,-156.519,1
"259","US","Nikolai, Alaska",108,63.0133,-154.375,1
"260","US","Medfra, Alaska",0,63.1067,-154.714,1
"261","US","Clark's Point, Alaska",66,58.8441,-158.551,1
"262","US","Nondalton, Alaska",221,59.9736,-154.846,1
"263","US","Aleknagik, Alaska",226,59.273,-158.618,1
"264","US","Ekwok, Alaska",124,59.3497,-157.475,1
"265","US","New Stuyahok, Alaska",452,59.4528,-157.312,1
"266","US","Naknek, Alaska",640,58.7283,-157.014,1
"267","US","King Salmon, Alaska",478,58.6883,-156.661,1
"268","US","Koliganek, Alaska",194,59.7286,-157.284,1
"269","US","Igiugig, Alaska",46,59.3278,-155.895,1
"270","US","Iliamna, Alaska",103,59.7536,-154.817,1
"271","US","Port Alsworth, Alaska",67,60.2025,-154.313,1
"272","US","Newhalen, Alaska",177,59.72,-154.897,1
"273","US","Levelock, Alaska",115,59.115,-156.857,1
"274","US","South Naknek, Alaska",149,58.7155,-156.998,1
"275","US","Goodnews Bay, Alaska",263,59.1186,-161.589,1
"276","US","Platinum, Alaska",41,59.013,-161.816,1
"277","US","Togiak, Alaska",762,59.0619,-160.376,1
"278","US","Quinhagak, Alaska",567,59.7489,-161.916,1
"279","US","Eek, Alaska",277,60.2189,-162.024,1
"280","US","Twin Hills, Alaska",59,59.0792,-160.275,1
"281","US","Kwigillingok, Alaska",333,59.8644,-163.134,1
"282","US","Mekoryuk, Alaska",192,60.388,-166.185,1
"283","US","Tununak, Alaska",330,60.5855,-165.256,1
"284","US","Toksook Bay, Alaska",496,60.5303,-165.102,1
"285","US","Nightmute, Alaska",206,60.4794,-164.724,1
"286","US","Newtok, Alaska",269,60.9427,-164.629,1
"287","US","Kipnuk, Alaska",567,59.9389,-164.041,1
"288","US","Umkumiute, Alaska",0,60.4983,-165.199,1
"289","US","Bethel, Alaska",5277,60.7922,-161.756,1
"290","US","Tuluksak, Alaska",385,61.1025,-160.962,1
"291","US","Napakiak, Alaska",354,60.6967,-161.952,1
"292","US","Napaskiak, Alaska",399,60.708,-161.766,1
"293","US","Kwethluk, Alaska",669,60.8122,-161.436,1
"294","US","Akiak, Alaska",272,60.9122,-161.214,1
"295","US","Akiachak, Alaska",481,60.9094,-161.431,1
"296","US","Nunapitchuk, Alaska",489,60.8969,-162.459,1
"297","US","Kasigluk, Alaska",514,60.8955,-162.521,1
"298","US","Kodiak, Alaska",6749,57.79,-152.407,1
"299","US","Akhiok, Alaska",101,56.9455,-154.17,1
"300","US","Port Lions, Alaska",239,57.8675,-152.882,1
"301","US","Old Harbor, Alaska",301,57.2028,-153.304,1
"302","US","Larsen Bay, Alaska",120,57.54,-153.979,1
"303","US","Afognak, Alaska",0,58.0078,-152.768,1
"304","US","Woody Island, Alaska",0,57.78,-152.355,1
"305","US","Chignik, Alaska",125,56.2953,-158.402,1
"306","US","Egegik, Alaska",127,58.2155,-157.376,1
"307","US","Pilot Point, Alaska",79,57.5641,-157.579,1
"308","US","Ugashik, Alaska",5,57.513,-157.397,1
"309","US","Sand Point, Alaska",870,55.3397,-160.497,1
"310","US","Squaw Harbor, Alaska",0,55.2433,-160.553,1
"311","US","Unga, Alaska",0,55.1828,-160.506,1
"312","US","Nikolski, Alaska",43,52.938,-168.868,1
"313","US","Adak Station, Alaska",4633,51.88,-176.658,1
"314","US","Cold Bay, Alaska",85,55.1858,-162.721,1
"315","US","Dillingham, Alaska",2252,59.0397,-158.457,1
"316","US","Dry Creek, Alaska",110,63.7,-144.567,1
"317","US","Gustavus, Alaska",346,58.4125,-135.738,1
"318","US","Telida, Alaska",5,63.3833,-153.267,1
"319","US","Whale Pass, Alaska",79,56.1,-133.167,1
"320","US","Mendeltna, Alaska",72,62.0406,-146.505,1
"321","US","Nelchina, Alaska",0,62.0399,-146.547,1
"322","US","Aleut Village, Alaska",0,58.0171,-152.761,1
"323","US","Alexander, Alaska",0,61.4171,-150.593,1
"324","US","Andreafsky, Alaska",0,62.0501,-163.167,1
"325","US","Annette, Alaska",0,55.063,-131.541,1
"326","US","Auke Bay, Alaska",0,58.383,-134.657,1
"327","US","Baranof, Alaska",0,57.086,-134.838,1
"328","US","Bartlett Cove, Alaska",0,58.45,-135.916,1
